%time,field.lefttype,field.righttype,field.leftconf,field.rightconf,field.curvature,field.heading,field.leftoffset,field.rightoffset
1517122727273062581,2,2,0,0,0.0,0.0,0.0,0.0
1517122727372723164,2,2,0,0,0.0,0.0,0.0,0.0
1517122727473241192,2,2,0,0,0.0,0.0,0.0,0.0
1517122727571443647,2,2,0,0,0.0,0.0,0.0,0.0
1517122727667917646,2,2,0,0,0.0,0.0,0.0,0.0
1517122727765104813,2,2,0,0,0.0,0.0,0.0,0.0
1517122727866195463,2,2,0,0,0.0,0.0,0.0,0.0
1517122727962608045,2,2,0,0,0.0,0.0,0.0,0.0
1517122728061430478,2,2,0,0,0.0,0.0,0.0,0.0
1517122728162773995,2,2,0,0,0.0,0.0,0.0,0.0
1517122728259751689,2,1,0,2,0.000586739974096,-0.0120000001043,-1.30250227451,2.4474978447
1517122728359306158,2,1,0,2,0.000655320007354,-0.00749999983236,-1.28250229359,2.46749782562
1517122728458245995,2,1,0,2,0.000670559995342,-0.00749999983236,-1.26250231266,2.48749780655
1517122728554585122,2,1,0,2,0.000674369977787,-0.00749999983236,-1.2525023222,2.49749755859
1517122728654192256,2,1,0,2,0.00067818001844,-0.00800000037998,-1.24750232697,2.50249767303
1517122728757501866,2,1,0,2,0.00068579998333,-0.00800000037998,-1.24500226974,2.50499773026
1517122728854166694,2,1,0,2,0.00068579998333,-0.00899999961257,-1.24375224113,2.50624775887
1517122728954550279,2,1,0,2,0.000681990000885,-0.0109999999404,-1.23312723637,2.51687288284
1517122729052196543,2,1,0,2,0.000674369977787,-0.0140000004321,-1.22781467438,2.52218532562
1517122729147081023,2,1,0,2,0.000662939972244,-0.0144999995828,-1.21515846252,2.53484153748
1517122729255703752,2,1,0,2,0.000655320007354,-0.0149999996647,-1.2088303566,2.5411696434
1517122729355080640,2,2,0,2,0.000655320007354,-0.0149999996647,-1.2088303566,2.5411696434
1517122729455944546,2,1,0,2,0.000655320007354,-0.0149999996647,-1.20566630363,2.54433369637
1517122729567611549,2,1,0,2,0.000655320007354,-0.0149999996647,-1.20408427715,2.54591560364
1517122729677168414,2,0,0,2,0.000285749993054,-0.0140000004321,-1.20408427715,2.54591560364
1517122729784626850,2,0,0,2,0.000281940010609,-0.0154999997467,-1.20408427715,2.54591560364
1517122729889361654,2,1,0,2,0.00033909000922,-0.0189999993891,-1.20408427715,2.54591560364
1517122729994734286,2,1,0,2,0.000590550014749,-0.0234999991953,-1.20408427715,2.54591560364
1517122730100200733,2,1,0,2,0.000590550014749,-0.0254999995232,0.0,0.0
1517122730200729583,2,1,0,2,0.000601980020292,-0.0260000005364,-1.5825022459,2.16749763489
1517122730305625460,2,1,0,2,0.000582929991651,-0.0254999995232,-1.5825022459,2.16749763489
1517122730405962680,2,1,0,2,0.000544829992577,-0.0234999991953,-1.57250225544,2.17749786377
1517122730512391855,2,1,0,2,0.000529590004589,-0.0230000000447,-1.56750226021,2.18249773979
1517122730620753418,2,1,0,2,0.000491490005516,-0.0215000007302,-1.55500221252,2.19499778748
1517122730724352048,2,1,0,2,0.00046862999443,-0.0209999997169,-1.54875230789,2.20124769211
1517122730832502423,2,1,0,2,0.000453390006442,-0.0205000005662,-1.54562735558,2.20437264442
1517122730931957068,2,1,0,2,0.000430529995356,-0.0195000004023,-1.53406476974,2.21593523026
1517122731043726141,2,1,0,2,0.000419099989813,-0.0189999993891,-1.52828359604,2.22171640396
1517122731146093152,2,1,0,2,0.000400049990276,-0.0179999992251,-1.51539301872,2.23460698128
1517122731249802644,2,1,0,2,0.000384810002288,-0.0175000000745,-1.50894761086,2.24105238914
1517122731351535579,2,1,0,2,0.000217170003452,-0.0115000000224,-1.50572490692,2.24427509308
1517122731452149387,2,1,0,2,6.85799968778e-05,-0.00850000046194,-1.50411367416,2.24588632584
1517122731562731348,2,1,0,2,5.71499986108e-05,-0.00650000013411,-1.49330806732,2.25669193268
1517122731665591909,2,1,0,2,3.80999990739e-05,-0.00350000010803,-1.4879052639,2.2620947361
1517122731765398588,2,1,0,2,4.19099997089e-05,-0.00300000002608,-1.48520374298,2.26479625702
1517122731864577021,2,1,0,2,5.71499986108e-05,-0.00350000010803,-1.48385310173,2.26614689827
1517122731964907537,2,1,0,2,6.85799968778e-05,-0.00400000018999,-1.47317767143,2.27682232857
1517122732068718538,2,1,0,2,7.23900011508e-05,-0.00499999988824,-1.46783995628,2.28216004372
1517122732165291398,0,1,1,2,7.61999981478e-05,-0.00700000021607,-1.46517109871,2.28482890129
1517122732261793609,0,1,1,2,-7.61999990573e-06,-0.00749999983236,-1.46383666992,2.28616333008
1517122732357939559,0,1,1,2,-3.80999990739e-05,-0.00650000013411,-1.46316945553,2.28683042526
1517122732459729310,0,1,1,2,-5.33400016138e-05,-0.00700000021607,-1.45283579826,2.29716420174
1517122732556869220,0,1,1,2,-0.000148589999299,-0.00800000037998,-1.44766902924,2.30233097076
1517122732654068502,0,1,1,2,-0.000220980000449,-0.00749999983236,-1.44508564472,2.30491447449
1517122732756882434,0,1,3,2,-0.000224789997446,-0.00449999980628,-1.42254281044,2.32745718956
1517122732857531795,2,1,3,2,-0.000240029999986,-0.00200000009499,-1.41814815998,2.33185195923
1517122732963633982,0,1,2,2,-0.000342899991665,-0.00300000002608,-1.39907407761,2.35092592239
1517122733069988900,0,1,2,2,-0.000373379996745,-0.00200000009499,-1.38953709602,2.36046290398
1517122733169249584,0,1,2,2,-0.000373379996745,0.0,-1.37476849556,2.37523150444
1517122733269565139,0,1,2,2,-0.000784859992564,0.00400000018999,-1.36738419533,2.38261580467
1517122733369023474,0,1,2,2,-0.0007391400286,0.00200000009499,-1.36369204521,2.38630795479
1517122733469311810,0,1,2,2,-0.000723899982404,0.00150000001304,-1.36184597015,2.38815402985
1517122733567520899,0,1,2,2,-0.000720089999959,0.00150000001304,-1.36092305183,2.38907694817
1517122733665765543,0,1,2,2,-0.000689610023983,0.00200000009499,-1.36046147346,2.38953852654
1517122733762108458,0,1,2,2,-0.000662939972244,0.0010000000475,-1.36023068428,2.38976931572
1517122733861943967,0,1,2,2,-0.000662939972244,0.00200000009499,-1.36011528969,2.38988471031
1517122733961786207,0,1,2,2,-0.000655320007354,0.00200000009499,-1.36005759239,2.38994240761
1517122734056733751,0,1,2,2,-0.000640080019366,0.00200000009499,-1.36002874374,2.38997125626
1517122734154746854,0,1,2,2,-0.000601980020292,0.00150000001304,-1.36001443863,2.38998556137
1517122734255434804,0,1,2,2,-0.000594359997194,0.00350000010803,-1.37000727654,2.37999272346
1517122734351136030,0,1,2,2,-0.000590550014749,0.00400000018999,-1.37500357628,2.37499642372
1517122734449422197,0,1,2,2,-0.000590550014749,0.00499999988824,-1.37750172615,2.37249827385
1517122734553779472,0,1,2,2,-0.000575310026761,0.00700000021607,-1.37875080109,2.37124919891
1517122734659345014,0,1,2,2,-0.000571499986108,0.00800000037998,-1.37937545776,2.37062454224
1517122734764020749,0,1,2,2,-0.000571499986108,0.00850000046194,-1.3796877861,2.3703122139
1517122734859216885,0,1,2,2,-0.000579120009206,0.0115000000224,-1.36984395981,2.38015604019
1517122734953130499,0,1,2,2,-0.000575310026761,0.0115000000224,-1.36492204666,2.38507795334
