%time,field.lefttype,field.righttype,field.leftconf,field.rightconf,field.curvature,field.heading,field.leftoffset,field.rightoffset
1517122727273083064,2,2,0,0,0.0,0.0,-1.29999995232,1.27999997139
1517122727372726326,2,2,0,0,0.0,0.0,-1.29999995232,1.25999999046
1517122727473242534,2,2,0,0,0.0,0.0,-1.29999995232,1.25999999046
1517122727571449446,2,2,0,0,0.0,0.0,-1.32000005245,1.25999999046
1517122727667922883,2,2,0,0,0.0,0.0,-1.32000005245,1.25999999046
1517122727765110551,2,2,0,0,0.0,0.0,-1.32000005245,1.25999999046
1517122727866205407,2,2,0,0,0.0,0.0,-1.32000005245,1.25999999046
1517122727962629178,2,2,0,0,0.0,0.0,-1.32000005245,1.25999999046
1517122728061445903,2,2,0,0,0.0,0.0,-1.32000005245,1.25999999046
1517122728162780205,2,2,0,0,0.0,0.0,-1.29999995232,1.25999999046
1517122728259776554,2,1,0,2,0.0,0.0,-0.699999988079,1.86000001431
1517122728359313846,2,1,0,2,0.0,0.0,-0.639999985695,1.89999997616
1517122728458250068,2,1,0,2,0.0,0.0,-0.620000004768,1.91999995708
1517122728554589719,2,1,0,2,0.0,0.0,-0.620000004768,1.91999995708
1517122728654197567,2,1,0,2,0.0,0.0,-0.600000023842,1.91999995708
1517122728757503594,2,1,0,2,0.0,0.0,-0.579999983311,1.91999995708
1517122728854171468,2,1,0,2,0.0,0.0,-0.579999983311,1.91999995708
1517122728954555807,2,1,0,2,0.0,0.0,-0.560000002384,1.94000005722
1517122729052218153,2,1,0,2,0.0,0.0,-0.540000021458,1.94000005722
1517122729147087407,2,1,0,2,0.0,0.0,-0.519999980927,1.96000003815
1517122729255730884,2,1,0,2,0.0,0.0,-0.519999980927,1.96000003815
1517122729355090022,2,2,0,2,0.0,0.0,-0.5,1.98000001907
1517122729455966283,2,1,0,2,0.0,0.0,-0.5,1.96000003815
1517122729567620340,2,1,0,2,0.0,0.0,-0.5,1.96000003815
1517122729677175848,2,0,0,2,0.0,0.0,-2.16000008583,1.55999994278
1517122729784625730,2,0,0,2,0.0,0.0,-2.1400001049,1.55999994278
1517122729889368575,2,1,0,2,0.0,0.0,-2.09999990463,1.55999994278
1517122729994741464,2,1,0,2,0.0,0.0,-2.07999992371,1.55999994278
1517122730100209615,2,1,0,2,0.0,0.0,-2.05999994278,1.58000004292
1517122730200741741,2,1,0,2,0.0,0.0,-2.03999996185,1.58000004292
1517122730305828496,2,1,0,2,0.0,0.0,-2.0,1.58000004292
1517122730405979491,2,1,0,2,0.0,0.0,-1.96000003815,1.60000002384
1517122730512413108,2,1,0,2,0.0,0.0,-1.94000005722,1.60000002384
