%time,field.siVehicleSpeed,field.siSteeringAngle,field.siSteeringVelocity,field.siTargetSteeringAngle,field.siTargetSteeringVelocity,field.siTargetTorque,field.siTargetBrakePressure,field.siBrakePressure,field.siSteeringTorqueVoltage,field.siSteeringDAC_A,field.siSteeringDAC_B,field.siAcceleratorPedal
1517122727217603568,20.12,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,19.5
1517122727313566133,20.44,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,19.5
1517122727425598638,20.78,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,19.0
1517122727521435427,21.19,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,15.25
1517122727633356252,21.43,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,12.125
1517122727745272775,21.7,9.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,10.125
1517122727841427586,21.9,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,9.875
1517122727953123051,22.03,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,10.25
1517122728049063383,22.23,8.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,12.375
1517122728161290774,22.33,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,13.75
1517122728257062235,22.51,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,14.25
1517122728368835346,22.75,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,14.0
1517122728480743919,22.89,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,5.625
1517122728577010317,22.97,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122728688621708,22.98,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122728784500602,22.96,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122728896512249,22.91,8.3,8.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122728992545399,22.89,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122729104402527,22.72,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.49641601562,2.49641601562,0.0
