%time,field.lefttype,field.righttype,field.leftconf,field.rightconf,field.curvature,field.heading,field.leftoffset,field.rightoffset
1517122812712797580,2,2,0,0,0.0,0.0,0.0,0.0
1517122812815953098,2,2,0,0,0.0,0.0,0.0,0.0
1517122812917449057,2,2,0,0,0.0,0.0,0.0,0.0
1517122813016180626,2,2,0,0,0.0,0.0,0.0,0.0
1517122813109860618,2,1,0,2,0.0,0.0,-1.04983258247,2.70016741753
1517122813203440552,2,1,0,2,0.000266699993517,-0.00600000005215,-1.03983259201,2.71016740799
1517122813303627203,2,1,0,2,0.000270510005066,-0.0054999999702,-1.02483272552,2.72516727448
1517122813395719579,2,1,0,2,0.00116204994265,-0.0230000000447,-1.03733253479,2.71266746521
1517122813488041238,2,1,0,2,0.00111633003689,-0.0219999998808,-1.03358268738,2.71641731262
1517122813584576180,2,1,0,2,0.00104013003875,-0.0215000007302,-1.03170776367,2.71829223633
1517122813684915349,2,1,0,2,0.000979169970378,-0.0175000000745,-1.02077007294,2.72922992706
1517122813781741939,2,1,0,2,0.000941069971304,-0.01600000076,-1.01530122757,2.73469877243
1517122813882825799,2,1,0,2,0.000910589995328,-0.0154999997467,-1.00256681442,2.74743318558
1517122813976338575,2,1,0,2,0.000861059990712,-0.0170000009239,-0.986199855804,2.7638001442
1517122814073232928,2,1,0,2,0.000822959991638,-0.0170000009239,-0.978016376495,2.7719836235
1517122814173702519,2,1,0,2,0.000784859992564,-0.0170000009239,-0.963924407959,2.78607559204
1517122814279243971,2,1,0,2,0.000720089999959,-0.01600000076,-0.946878433228,2.80312156677
1517122814388551548,2,2,0,2,0.00068579998333,-0.0154999997467,-0.946878433228,2.80312156677
1517122814503184089,2,2,0,2,0.000655320007354,-0.0154999997467,-0.946878433228,2.80312156677
1517122814614483609,2,2,0,2,0.000594359997194,-0.0144999995828,-0.946878433228,2.80312156677
1517122814726228150,2,2,0,2,0.000563880021218,-0.0144999995828,-0.946878433228,2.80312156677
1517122814838759932,2,2,0,2,0.000502920011058,-0.0144999995828,0.0,0.0
1517122814950419745,2,2,0,2,0.000502920011058,-0.0144999995828,0.0,0.0
1517122815061250273,2,2,0,2,0.000502920011058,-0.0144999995828,0.0,0.0
