0-number,1-lidar_rel_time,2-lidar_time,3-can_veh_speed,4-imu_veh_acc,5-meroad_ltype,6-meroad_rtype,7-meroad_loffset,8-meroad-roffset,9-lidar_ped_x,10-lidar_ped_y,11-lidar_curve_x1,12-lidar_curve_y1,13-lidar_curve_x2,14-lidar_curve_y2,15-lidar_pc_lat,16-lidar_vc_lat,17-lidar_pv_lon,18-me_is_valid,19-me_obj_id,20-me_obj_x,21-me_obj_y,22-me_obj_relspeed,23-me_obj_width,24-me_obj_length,25-me_obj_height,26-me_obj_speed,27-me_obj_class
25,2.5214128494262695,1517122815.1908441,24.26,0.7288,2,2,0.0,0.0,11.25,0.19999999999999929,0.1099633195292995,-2.1747076878920915,17.709747353315038,-3.0949578334495129,2.9531590659913753,2.165999081638629,11.224209511543954,1,62,13.5625,0.5625,-6.125,0.600000023842,0.0,0.0,0.0,3,63,50.6875,3.375,-10.9375,1.54999995232,0.0,0.0,0.0,0
26,2.6222639083862305,1517122815.2916951,23.58,0.9617,2,1,-1.40983271599,2.34016728401,10.575000000000003,0.39999999999999858,0.1099633195292995,-2.2034655049407554,14.632660929107402,-2.8648952970601584,3.0769013729222485,2.1961806786609626,10.545850181881969,1,62,12.5,0.75,-6.25,0.600000023842,0.0,0.0,0.0,3,63,49.0,3.25,-10.6875,1.54999995232,0.0,0.0,0.0,0
27,2.7231237888336182,1517122815.392555,23.07,0.8038,2,1,-1.39983272552,2.35016727448,9.9500000000000028,0.59999999999999787,-0.062583582762712808,-2.2034655049407554,16.559434671368251,-3.0086843823035068,3.2846523426765319,2.2039127731552046,9.9093139007133519,1,62,12.0,0.9375,-5.6875,0.600000023842,0.0,0.0,0.0,3,63,48.0,3.1875,-10.5,1.54999995232,0.0,0.0,0.0,0
28,2.8240728378295898,1517122815.493504,22.48,0.7357,2,1,-1.38483262062,2.36516737938,9.4750000000000085,0.69999999999999929,0.052447685431957325,-2.1459498708434204,16.214340866784212,-3.0949578334495129,3.3933864099525488,2.1391855219886442,9.4176751447812528,1,62,10.9375,1.125,-5.3125,0.600000023842,0.0,0.0,0.0,3,63,46.5625,3.1875,-10.0,1.54999995232,0.0,0.0,0.0,0
29,2.9248318672180176,1517122815.5942631,21.92,0.7749,2,1,-1.37733268738,2.37266731262,8.7250000000000085,0.84999999999999787,0.02368986838330045,-2.2609811390380976,13.050980991430578,-2.8073796629628198,3.4728833767533853,2.2580022783706384,8.6817157818482151,1,62,10.4375,1.25,-5.3125,0.600000023842,0.0,0.0,0.0,3,63,44.6875,3.125,-11.6875,1.54999995232,0.0,0.0,0.0,0
30,3.0257630348205566,1517122815.6951942,21.33,0.8519,2,1,-1.36358261108,2.38641738892,8.1750000000000114,1.0499999999999972,0.13872113657797058,-2.2034655049407554,15.725457976956847,-3.0374421993521779,3.6781896298455226,2.1929064270710046,8.1072226321691616,1,62,9.4375,1.4375,-7.5625,0.600000023842,0.0,0.0,0.0,3,63,44.375,3.1875,-8.8125,1.54999995232,0.0,0.0,0.0,0
31,3.1265509128570557,1517122815.7959821,20.78,1.0,2,1,-1.35670757294,2.39329242706,7.6000000000000085,1.1999999999999993,-0.0050679486653848471,-2.1747076878920915,16.847012841854948,-3.1524734675468515,3.8095505619923564,2.1713500132592469,7.517732301840133,1,62,9.0,1.5,-6.75,0.600000023842,0.0,0.0,0.0,3,63,43.8125,3.125,-8.5625,1.54999995232,0.0,0.0,0.0,0
32,3.2274370193481445,1517122815.8968682,20.14,0.7904,2,1,-1.35327005386,2.39672994614,7.0500000000000114,1.4499999999999993,-0.0050679486653848471,-2.2034655049407554,15.754215794005518,-3.0662000164008418,4.0336520213102318,2.2004480833557643,6.9601985116710754,1,62,8.5,1.6875,-6.5625,0.600000023842,0.0,0.0,0.0,3,63,43.0,3.125,-6.6875,1.5,0.0,0.0,0.0,0
33,3.3282749652862549,1517122815.9977062,19.92,0.6379,2,1,-1.34155130386,2.40844869614,6.4500000000000028,1.5749999999999993,0.052447685431957325,-2.2034655049407554,14.920239099594099,-3.0374421993521779,4.1308288738167382,2.1970698416660515,6.3516691511425289,1,62,7.625,1.875,-6.5,0.600000023842,0.0,0.0,0.0,3,63,41.625,3.125,-6.25,1.5,0.0,0.0,0.0,0,61,113.0,-0.3125,-4.5625,1.64999997616,0.0,0.0,0.0,0
34,3.4291539192199707,1517122816.0985851,19.46,0.85,2,1,-1.33569192886,2.41430807114,5.9500000000000028,1.75,0.02368986838330045,-2.2897389560867687,15.294090721226794,-3.0086843823035068,4.3139768665258815,2.2860913201071851,5.8611159526685839,1,62,7.1875,1.875,-6.25,0.600000023842,0.0,0.0,0.0,3,63,41.1875,3.125,-6.4375,1.5,0.0,0.0,0.0,0,61,111.5,-0.3125,-4.875,1.64999997616,0.0,0.0,0.0,0
35,3.5299739837646484,1517122816.1994052,19.13,0.9075,2,1,-1.33276224136,2.41723775864,5.375,1.75,0.052447685431957325,-2.2034655049407554,15.121543818934782,-2.9224109311574935,4.2026237049307742,2.1984625414156223,5.2854955331224716,1,62,6.75,1.9375,-5.6875,0.600000023842,0.0,0.0,0.0,3,63,40.4375,3.125,-6.25,1.5,0.0,0.0,0.0,0,61,109.6875,-0.3125,-4.875,1.64999997616,0.0,0.0,0.0,0
36,3.6308510303497314,1517122816.3002822,19.13,0.8943,2,1,-1.32129740715,2.42870259285,4.875,1.9249999999999972,-0.14885703390871186,-2.1747076878920915,14.345082758620705,-2.9511687482061646,4.3625872809914865,2.179556859684959,4.7650423061763307,1,62,5.875,2.0625,-5.25,0.600000023842,0.0,0.0,0.0,3,63,39.0,3.125,-6.6875,1.5,0.0,0.0,0.0,0,61,108.9375,-0.25,-2.0625,1.64999997616,0.0,0.0,0.0,0
37,3.7317068576812744,1517122816.4011381,18.85,0.8342,2,1,-1.31556510925,2.43443489075,4.375,2.125,-0.033825765714041722,-2.1459498708434204,13.568621698306629,-2.9511687482061646,4.5240177537872688,2.1441986344816977,4.2417815784629527,1,62,5.4375,2.125,-5.0,0.600000023842,0.0,0.0,0.0,3,63,38.5625,3.125,-6.625,1.54999995232,0.0,0.0,0.0,0,61,106.3125,-0.1875,-4.0,1.64999997616,0.0,0.0,0.0,0
