%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1517122812620354217,54645,1517122812620170536,gps,-0.00561657708239,0.00750212657631,0.718732311564,0.695223731235,1.1025e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0002114116,-0.00191,-0.00616,-0.00462,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.3792,-0.1301,10.0588,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122812630630932,54646,1517122812630284355,gps,-0.00558079772026,0.00742328874679,0.718717523053,0.695240153859,1.1025e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0002114116,-0.0065,-0.01603,-0.00453,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.3978,-0.0999,9.973,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122812640516133,54647,1517122812640253105,gps,-0.00558991163619,0.0074037695425,0.718707647137,0.695250498044,1.1025e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0002114116,-0.00413,-0.00134,-0.00285,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.3887,-0.1126,9.8645,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122812650442822,54648,1517122812650199151,gps,-0.00550042781265,0.00734011948765,0.718672542174,0.695288174116,1.1025e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0002114116,0.00302,-0.0226,-0.00155,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.3481,0.016,10.0031,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122812660402857,54649,1517122812660204709,gps,-0.00544005069951,0.00732200142892,0.718675878817,0.695285391296,1.1025e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0002114116,0.00579,-0.01122,0.00094,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.3564,0.0291,10.2654,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122812670648102,54650,1517122812670352891,gps,-0.00537179058261,0.00730409058878,0.718669134133,0.695293081924,1.1025e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0002114116,0.00686,-0.01224,-0.002,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.5215,-0.119,9.4058,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122812680337591,54651,1517122812680198715,gps,-0.00529278371595,0.00725118664686,0.718637378692,0.6953270631,1.1025e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0002114116,0.00309,-0.0195,-0.00088,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.2362,0.0262,9.5495,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122812690356339,54652,1517122812690150301,gps,-0.0052180420891,0.00724930897035,0.71862768598,0.695337665095,1.1025e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0002114116,0.00997,-0.01096,-0.0028,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.3364,0.0796,9.6483,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122812700552287,54653,1517122812700262189,gps,-0.00514556984259,0.00726671320495,0.718635174396,0.69533028419,1.1025e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0002114116,0.01264,-0.00793,0.00224,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.3677,0.044,9.7228,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122812710593071,54654,1517122812710190488,gps,-0.00514482487885,0.00729035336461,0.718594601191,0.695371972878,1.1025e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0002114116,0.0032,0.00235,-0.00363,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.3911,0.0702,9.6549,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
