%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1517122812620341192,54645,1517122812620170536,gps,0,1,39.9950225814,116.324557431,40.9398193359,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812630593038,54646,1517122812630284355,gps,0,1,39.99502256,116.324556582,40.9391593933,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812640485817,54647,1517122812640253105,gps,0,1,39.9950225387,116.324555734,40.9384040833,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812650378661,54648,1517122812650199151,gps,0,1,39.995022537,116.324554937,40.9376983643,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812660388509,54649,1517122812660204709,gps,0,1,39.9950225158,116.324554088,40.9371414185,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812670634074,54650,1517122812670352891,gps,0,1,39.9950224942,116.324553239,40.9363746643,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812680327201,54651,1517122812680198715,gps,0,1,39.9950224918,116.32455244,40.9356613159,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812690318943,54652,1517122812690150301,gps,0,1,39.9950224707,116.32455159,40.9349632263,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812700521443,54653,1517122812700262189,gps,0,1,39.9950224494,116.32455074,40.9343643188,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812710596307,54654,1517122812710190488,gps,0,1,39.9950224465,116.324549938,40.9336166382,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812720330613,54655,1517122812720204467,gps,0,1,39.9950224258,116.324549088,40.9329681396,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812730482835,54656,1517122812730290799,gps,0,1,39.9950224047,116.324548238,40.9323043823,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812740487574,54657,1517122812740330734,gps,0,1,39.9950224014,116.324547433,40.9316635132,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812750409893,54658,1517122812750278264,gps,0,1,39.9950223811,116.324546581,40.9310684204,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812760698031,54659,1517122812760527069,gps,0,1,39.9950223604,116.324545731,40.9303245544,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812770338304,54660,1517122812770179510,gps,0,1,39.9950223643,116.324544936,40.9296913147,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812780356562,54661,1517122812780197327,gps,0,1,39.9950223439,116.324544083,40.929058075,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812790380660,54662,1517122812790213964,gps,0,1,39.9950223237,116.324543231,40.928478241,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812800389313,54663,1517122812800205077,gps,0,1,39.9950223269,116.324542433,40.9278526306,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812810462504,54664,1517122812810189873,gps,0,1,39.9950223065,116.324541579,40.9271659851,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812820435711,54665,1517122812820289391,gps,0,1,39.9950222865,116.324540726,40.9267311096,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812830327999,54666,1517122812830144417,gps,0,1,39.9950222888,116.324539924,40.9261245728,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
1517122812840487331,54667,1517122812840227187,gps,0,1,39.9950222682,116.324539067,40.9254341125,0.727609,0.0,0.0,0.0,0.7396,0.0,0.0,0.0,4.6656,2
