%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1517122812620341176,54645,1517122812620170536,utm,-0.2358,7.2436,-0.0697,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812630621901,54646,1517122812630284355,utm,-0.2366,7.2457,-0.0679,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812640525152,54647,1517122812640253105,utm,-0.2375,7.2478,-0.0672,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812650391204,54648,1517122812650199151,utm,-0.2365,7.2487,-0.0651,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812660398202,54649,1517122812660204709,utm,-0.2359,7.2504,-0.0605,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812670642432,54650,1517122812670352891,utm,-0.2369,7.2539,-0.0643,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812680336711,54651,1517122812680198715,utm,-0.2358,7.2539,-0.0668,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812690330496,54652,1517122812690150301,utm,-0.2348,7.2556,-0.0683,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812700522961,54653,1517122812700262189,utm,-0.2341,7.2576,-0.069,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812710586040,54654,1517122812710190488,utm,-0.2325,7.2591,-0.0704,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812720351675,54655,1517122812720204467,utm,-0.2311,7.2622,-0.0676,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812730508857,54656,1517122812730290799,utm,-0.2305,7.2639,-0.0654,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812740504063,54657,1517122812740330734,utm,-0.2292,7.267,-0.0603,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812750425564,54658,1517122812750278264,utm,-0.2272,7.2702,-0.0598,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812760714841,54659,1517122812760527069,utm,-0.2265,7.2733,-0.0651,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812770406066,54660,1517122812770179510,utm,-0.2269,7.2744,-0.0648,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812780370489,54661,1517122812780197327,utm,-0.2267,7.2788,-0.0642,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812790399584,54662,1517122812790213964,utm,-0.2254,7.2837,-0.059,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812800401763,54663,1517122812800205077,utm,-0.2247,7.2873,-0.0643,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812810444332,54664,1517122812810189873,utm,-0.2257,7.2916,-0.0665,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812820449908,54665,1517122812820289391,utm,-0.224,7.2967,-0.0618,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812830347416,54666,1517122812830144417,utm,-0.2246,7.3008,-0.0625,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122812840513367,54667,1517122812840227187,utm,-0.2262,7.3067,-0.0658,0.0,0.0,0.0,0.002601,0.0,0.0,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.003844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
