%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1517122675935298257,40976,1517122675935098838,gps,-0.0051410599875,0.00811920978889,0.714272638379,0.699801576162,1.6641e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0006533136,0.00385,0.00038,0.02573,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.9943,-0.2623,9.8562,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122675945403571,40977,1517122675945204901,gps,-0.00512825716589,0.00809319402057,0.714319822218,0.699753808689,1.6641e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0006533136,-0.0015,-0.00548,0.02823,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0087,-0.2553,9.8646,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122675955183507,40978,1517122675955001773,gps,-0.0051527748468,0.0080843696442,0.714429412748,0.699641841287,1.6641e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0006533136,-0.00381,0.00217,0.03132,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.974,-0.2717,9.8867,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122675965289422,40979,1517122675965084827,gps,-0.00523088746381,0.00805428073778,0.71451578635,0.699553398559,1.6641e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0006533136,-0.01453,0.00679,0.02476,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0799,-0.306,9.9199,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122675975501045,40980,1517122675975023277,gps,-0.00524933839918,0.00801890056121,0.714493103785,0.699576833753,1.6641e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0006533136,-0.00738,-0.00283,0.0352,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.9007,-0.3601,10.0747,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122675985294436,40981,1517122675985115909,gps,-0.00527929635186,0.00797724522545,0.714585202975,0.699483009284,1.6641e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0006533136,-0.0094,-0.00171,0.02629,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.038,-0.342,10.0229,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122675995447887,40982,1517122675995172599,gps,-0.00531155691345,0.00795109768784,0.714679209491,0.699387013699,1.6641e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0006533136,-0.00753,0.00091,0.02685,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0315,-0.365,9.9749,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122676005335778,40983,1517122676005115620,gps,-0.00537538744879,0.00791145559248,0.714640830565,0.69942619151,1.6641e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0006533136,-0.01445,0.00306,0.02871,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0571,-0.3324,9.8001,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122676015183435,40984,1517122676015017358,gps,-0.00540932405286,0.00781920527185,0.714729622194,0.699336232724,1.6641e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0006533136,-0.0173,-0.00818,0.02511,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.9702,-0.2379,9.7376,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122676025349995,40985,1517122676025092193,gps,-0.00543102278198,0.00780236392514,0.714820705188,0.699243152661,1.6641e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0006533136,-0.00465,0.00065,0.02605,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.9524,-0.2423,9.7506,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
