0-number,1-lidar_rel_time,2-lidar_time,3-can_veh_speed,4-imu_veh_acc,5-meroad_ltype,6-meroad_rtype,7-meroad_loffset,8-meroad-roffset,9-lidar_ped_x,10-lidar_ped_y,11-lidar_curve_x1,12-lidar_curve_y1,13-lidar_curve_x2,14-lidar_curve_y2,15-lidar_pc_lat,16-lidar_vc_lat,17-lidar_pv_lon,18-me_is_valid,19-me_obj_id,20-me_obj_x,21-me_obj_y,22-me_obj_relspeed,23-me_obj_width,24-me_obj_length,25-me_obj_height,26-me_obj_speed,27-me_obj_class,01-mouth,02-neck,03-l_shoulder,04-l_elbow,05-l_wrist,06-r_shoulder,07-r_elbow,08-r_wrist,09-l_hip,10-l_knee,11-l_ankle,12-r_hip,13-r_knee,14-r_ankle,15-l_eye,16-r_eye,17-l_ear,18-r_ear,46-orientation
0,0,1517122727.24013,20.12,1.1556,2,2,0,0,30,-3.725,2.8653106318,-1.9423804584,35.3164552189,-2.4866887941,-1.3272982783,1.8940537195,30.0582520501,0,42,31.625,-2.25,-5.0625,0.6000000238,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0.1008360386,1517122727.34097,20.44,1.1623,2,2,0,0,29.35,-3.65,1.9840495169,-1.9423804584,35.135019107,-2.5644471278,-1.1938966138,1.904815119,29.4133130673,0,42,31.125,-2.1875,-4.5625,0.6000000238,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0.2017006874,1517122727.44183,20.78,1.1691,2,2,0,0,28.775,-3.6,1.2583050692,-1.9423804584,34.2278385474,-2.5903665724,-1.1165883577,1.9172793492,28.8401850157,0,42,30.6875,-2.125,-4.3125,0.6000000238,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0.3025369644,1517122727.54267,21.19,1.0913,2,2,0,0,28.125,-3.5,0.6362383998,-1.9164610138,31.8950885372,-2.5126082387,-1.0590997013,1.9039808924,28.1866241043,0,42,29.75,-2.0625,-4.875,0.6000000238,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,0.40340662,1517122727.64354,21.43,1.0899,2,2,0,0,27.55,-3.4,0.3770439542,-1.9164610138,34.6943885495,-2.668124906,-0.8881479245,1.9077449275,27.6178471855,0,42,30.25,-2.125,-5.4375,0.6000000238,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,0.5043478012,1517122727.74448,21.7,1.1571,2,2,0,0,26.925,-3.15,0.2215272869,-1.9164610138,33.2947385433,-2.6162860169,-0.6683472457,1.9113456789,26.985613008,0,42,30.625,-2.1875,-6.0625,0.6000000238,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,0.6051309109,1517122727.84526,21.9,1.1756,2,2,0,0,26.325,-3,0.2215272869,-1.8905415693,32.5689940957,-2.668124906,-0.4818319133,1.8846719462,26.389491933,0,42,30.6875,-2.0625,-5.875,0.6499999762,0,0,0,3,30, 3,7 ,19,37, 2,3 ,75,-1,-1,-1,-1,35, 3,0 ,87,42, -,206.32055071
7,0.7060847282,1517122727.94621,22.03,1.1028,2,2,0,0,25.725,-2.95,0.1437689532,-1.8905415693,30.6509551984,-2.668124906,-0.4072981694,1.8862644893,25.7918145025,0,42,30.4375,-1.9375,-6.125,0.6499999762,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,0.8068199158,1517122728.04695,22.23,1.0983,2,2,0,0,25.05,-2.8,0.1178495087,-1.8905415693,32.8281885413,-2.7718026843,-0.2376660783,1.8866819553,25.1163222911,0,42,30.25,-1.875,-7.625,0.6499999762,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,0.9077889919,1517122728.14792,22.33,1.1958,2,2,0,0,24.5,-2.7,0.1178495087,-1.8905415693,31.7136524253,-2.7718026843,-0.1293481466,1.8865208798,24.5657540505,0,42,30.0625,-1.875,-9.125,0.6499999762,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1.0085308552,1517122728.24866,22.51,1.1794,2,1,-1.3025022745,2.4474978447,23.85,-2.525,0.1956078423,-1.8646221247,30.0029690844,-2.8495610179,0.1211793797,1.8571449561,23.9203793556,0,42,29.5625,-1.875,-8.6875,0.6499999762,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,1.1093957424,1517122728.34953,22.75,1.0337,2,1,-1.2825022936,2.4674978256,23.2,-2.325,0.1696883978,-1.8646221247,29.9511301953,-2.9273193516,0.3611875286,1.8573849796,23.2681545935,0,42,29.125,-1.8125,-7.0625,0.6499999762,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,1.210269928,1517122728.4504,22.89,1.1225,2,1,-1.2625023127,2.4874978066,22.575,-2.15,0.1956078423,-1.8905415693,30.2880829746,-2.9013999071,0.4920265723,1.8829087215,22.6344554131,0,42,28.9375,-1.75,-3.25,0.6499999762,0,0,0,3,-1,-1,92, 7,1 ,18,74, -, -, -, -, 9,9 ,41,92, 7,2 ,22,138.711486542
13,1.3113639355,1517122728.55149,22.97,1.1587,2,1,-1.2525023222,2.4974975586,21.9,-1.925,0.1178495087,-1.8646221247,32.5430746511,-3.1346749081,0.7921924301,1.8585809603,21.9585618951,0,42,29.5,-1.75,0,0.6499999762,0,0,0,3,91, 7,5 ,16,73, 9,5 ,39,-1,-1,-1,-1,91, 7,9 ,19,75, 9,178.338955906
14,1.4119827747,1517122728.65211,22.98,1.1534,2,1,-1.247502327,2.502497673,21.325,-1.825,0.1956078423,-1.8905415693,32.7504302076,-3.0569165744,0.8220385352,1.8823255928,21.3766704927,0,44,36.1875,0.25,0,0.6499999762,0,0,0,3,89, 7,4 ,96,73, 8,5 ,38,89, 7,7 ,1 ,1 ,97,73, 8,4 ,55,178.357443553
