0-number,1-lidar_rel_time,2-lidar_time,3-can_veh_speed,4-imu_veh_acc,5-meroad_ltype,6-meroad_rtype,7-meroad_loffset,8-meroad-roffset,9-lidar_ped_x,10-lidar_ped_y,11-lidar_curve_x1,12-lidar_curve_y1,13-lidar_curve_x2,14-lidar_curve_y2,15-lidar_pc_lat,16-lidar_vc_lat,17-lidar_pv_lon,18-me_is_valid,19-me_obj_id,20-me_obj_x,21-me_obj_y,22-me_obj_relspeed,23-me_obj_width,24-me_obj_length,25-me_obj_height,26-me_obj_speed,27-me_obj_class,01-mouth,02-neck,03-l_shoulder,04-l_elbow,05-l_wrist,06-r_shoulder,07-r_elbow,08-r_wrist,09-l_hip,10-l_knee,11-l_ankle,12-r_hip,13-r_knee,14-r_ankle,15-l_eye,16-r_eye,17-l_ear,18-r_ear,46-orientation
15,1.5128266811,1517122728.75296,22.96,1.0717,2,1,-1.2450022697,2.5049977303,20.65,-1.65,0.0919300641,-1.8646221247,29.3290635259,-3.082836019,1.0702797127,1.859178535,20.7007883581,1,43,20.4375,-0.6875,10,0.5500000119,0,0,0,3,86, 7,6 ,79,73, 8,8 ,35,87, 7,9 ,1 ,1 ,80,73, 8,0 ,61,177.905173158
16,1.6136686802,1517122728.8538,22.91,1.0108,2,1,-1.2437522411,2.5062477589,20.075,-1.5,0.0660106195,-1.8905415693,31.7914107589,-3.1087554635,1.158007203,1.8866164902,20.1177720811,1,43,19.9375,-0.625,10,0.5500000119,0,0,0,3,86, 7,2 ,72,73, 8,7 ,31,86, 7,8 ,1 ,1 ,76,73, 8,3 ,59,178.167011328
17,1.7145528793,1517122728.95468,22.89,1.1049,2,1,-1.2331272364,2.5168728828,19.45,-1.275,0.1178495087,-1.8646221247,31.8691690926,-3.2642721309,1.440416059,1.8576231443,19.487279524,1,43,19.9375,-0.5,-7,0.5500000119,0,0,0,3,85, 7,2 ,62,73, 8,4 ,30,84, 7,8 ,44,77, 8,5 ,35,86, 7,178.682759123
18,1.8153867722,1517122729.05552,22.72,1.1581,2,1,-1.2278146744,2.5221853256,18.725,-1.1,0.1178495087,-1.8905415693,33.2688190988,-3.4197887982,1.6471339094,1.8831026799,18.7557976034,1,43,19.3125,-0.25,-7.375,0.5500000119,0,0,0,3,84, 7,3 ,52,73, 8,3 ,37,84, 7,2 ,40,78, 8,0 ,37,86, 7,206.944246397
19,1.916261673,1517122729.15639,22.72,0.9693,2,1,-1.2151584625,2.5348415375,18.125,-0.925,0.1696883978,-1.8905415693,33.605771878,-3.4975471319,1.8264017956,1.8802156466,18.1485083153,1,43,19.5625,-0.125,-7.625,0.6000000238,0,0,0,3,82, 7,3 ,36,73, 8,7 ,37,82, 7,6 ,16,78, 8,9 ,37,84, 7,203.945001672
20,2.0170948505,1517122729.25722,22.66,1.1022,2,1,-1.2088303566,2.5411696434,17.475,-0.85,0.0660106195,-1.8905415693,33.3465774324,-3.4457082428,1.8520248108,1.8853996071,17.4956283432,1,43,19.0625,-0.0625,0,0.5500000119,0,0,0,3,81, 7,0 ,24,72, 8,4 ,27,81, 7,1 ,08,79, 8,7 ,28,83, 7,224.898369212
21,2.1179487705,1517122729.35808,22.41,1.1924,2,2,-1.2088303566,2.5411696434,16.875,-0.625,0.040091175,-1.8905415693,33.7872079899,-3.6271443547,2.1290370378,1.8859830596,16.884820839,1,43,18.4375,0,0,0.5500000119,0,0,0,3,79, 7,4 ,08,72, 8,1 ,23,79, 7,6 ,88,78, 8,1 ,23,81, 7,189.956437139
22,2.218806982,1517122729.45894,22.25,0.9799,2,1,-1.2056663036,2.5443336964,16.275,-0.475,0.0660106195,-1.9164610138,32.2320413164,-3.4975471319,2.2354972183,1.9109092463,16.2786944393,1,43,18.4375,0.125,-4.1875,0.5500000119,0,0,0,3,78, 7,3 ,96,72, 7,0 ,24,78, 7,4 ,1 ,1 ,01,72, 8,1 ,58,188.074579285
23,2.3196630478,1517122729.55979,22.05,1.1121,2,1,-1.2040842772,2.5459156036,15.625,-0.3,0.0660106195,-1.9164610138,32.6726718739,-3.6271443547,2.4294102221,1.9103704814,15.6192580729,1,43,18.1875,0.25,-4.1875,0.6000000238,0,0,0,3,76, 7,3 ,75,72, 7,2 ,24,76, 7,5 ,1 ,1 ,86,72, 7,4 ,58,201.184738892
24,2.4205369949,1517122729.66067,21.74,1.0118,2,0,-1.2040842772,2.5459156036,15.125,-0.125,0.0141717304,-1.8905415693,28.4996413,-3.6012249101,2.6682090523,1.8862920457,15.1052923108,1,43,17.25,0.5,-3.4375,0.6000000238,0,0,0,3,75, 7,2 ,63,72, 7,0 ,23,75, 7,2 ,22,75, 7,1 ,24,76, 7,205.550122907
25,2.5213868618,1517122729.76152,21.32,1.1976,2,0,-1.2040842772,2.5459156036,14.6,-0.025,0.1178495087,-1.9164610138,30.5472774201,-3.7049026884,2.7379018762,1.9062450472,14.5763154439,1,43,16.0625,0.5625,-3.5,0.6000000238,0,0,0,3,72, 7,3 ,37,72, 7,6 ,22,72, 7,8 ,1 ,1 ,38,72, 7,7 ,62,178.234397533
26,2.6222598553,1517122729.86239,20.85,1.0864,2,1,-1.2040842772,2.5459156036,14,0.075,0.040091175,-1.9423804584,34.1759996583,-4.0677749122,2.880983454,1.9361350478,13.9682814437,1,43,15.5,0.75,-6.375,0.6000000238,0,0,0,3,70, 7,0 ,22,72, 7,9 ,24,70, 7,1 ,00,77, 7,3 ,24,72, 7,188.992391191
27,2.7230887413,1517122729.96322,20.39,0.9354,2,1,-1.2040842772,2.5459156036,13.475,0.25,0.0141717304,-1.9423804584,34.3833552148,-3.9900165785,2.9890452318,1.9380995447,13.436280667,1,43,15.3125,0.8125,-9.5,0.6000000238,0,0,0,3,68, 6,4 ,98,71, 6,4 ,15,68, 7,7 ,1 ,1 ,01,71, 7,4 ,61,189.597923533
28,2.823972702,1517122730.0641,19.79,0.9738,2,1,0,0,12.925,0.5,0.0660106195,-1.968299903,35.0054218842,-4.0677749122,3.2351486854,1.9607966642,12.8717384967,1,43,14.75,1.125,-10.0625,0.6000000238,0,0,0,3,66, 6,4 ,83,72, 6,0 ,19,66, 7,1 ,1 ,1 ,85,72, 6,2 ,60,189.807981713
29,2.9248199463,1517122730.16495,19.29,1.1168,2,1,-1.5825022459,2.1674976349,12.425,0.65,0.0919300641,-1.9423804584,33.605771878,-4.1196138013,3.386462061,1.9323348099,12.3567244421,1,43,14,1.1875,-7.5625,0.6000000238,0,0,0,3,60, 6,7 ,29,72, 6,8 ,24,60, 7,2 ,1 ,1 ,30,72, 6,3 ,74,205.343234873
30,3.025690794,1517122730.26582,18.85,1.0678,2,1,-1.5825022459,2.1674976349,11.9,0.775,0.0660106195,-1.968299903,29.5623385269,-3.7308221329,3.4442840741,1.9608579706,11.832585178,1,43,13.625,1.25,-7.1875,0.6000000238,0,0,0,3,56, 6,8 ,82,72, 5,9 ,22,57, 7,1 ,1 ,1 ,87,72, 5,4 ,74,179.489711011
31,3.1265189648,1517122730.36665,18.37,1.0128,2,1,-1.5725022554,2.1774978638,11.425,0.925,0.0141717304,-1.968299903,33.139221876,-3.964097134,3.5743250516,1.9638847213,11.3486885561,1,43,12.75,1.5,-7,0.6000000238,0,0,0,3,51, 6,3 ,46,72, 5,6 ,18,-1,-1,-1,-1,54, 7,2 ,38,77, 5,179.155647226
32,3.2273967266,1517122730.46753,17.98,0.8903,2,1,-1.5675022602,2.1824977398,10.875,1.05,0.0660106195,-1.968299903,30.910149644,-3.9122582448,3.6922129352,1.9602501978,10.7874199916,1,43,12.125,1.5,-6.3125,0.6000000238,0,0,0,3,49, 6,9 ,25,71, 5,1 ,15,-1,-1,-1,-1,52, 7,2 ,09,77, 4,179.431787251
33,3.3282568455,1517122730.56839,17.76,1.1301,2,1,-1.5550022125,2.1949977875,10.4,1.25,0.0660106195,-1.9942193475,31.6618135362,-3.8344999112,3.8396097409,1.9870070693,10.3097217878,1,43,11.6875,1.8125,-6.375,0.6000000238,0,0,0,3,44, 6,2 ,73,72, 4,7 ,18,-1,-1,-1,-1,46, 7,2 ,57,77, 4,177.764713774
34,3.4290828705,1517122730.66921,17.56,1.1301,2,1,-1.5550022125,2.1949977875,9.925,1.425,0.0919300641,-1.9942193475,33.605771878,-3.9122582448,3.9754728438,1.9857087236,9.8273642827,1,43,11.6875,1.8125,-6.375,0.6000000238,0,0,0,3,41, 6,5 ,45,72, 4,8 ,20,-1,-1,-1,-1,43, 7,4 ,22,79, 4,179.039897077
35,3.5299458504,1517122730.77008,17.42,0.9611,2,1,-1.5487523079,2.2012476921,9.5,1.55,0.0660106195,-2.0201387921,31.9728468709,-3.7567415775,4.077570225,2.0135657945,9.4017224864,1,43,11.25,1.9375,-6.1875,0.6000000238,0,0,0,3,34, 6,1 ,81,72, 3,1 ,22,-1,-1,-1,-1,36, 7,4 ,64,79, 3,179.122723419
36,3.6308128834,1517122730.87094,17.23,0.7609,2,1,-1.5456273556,2.2043726444,9.025,1.675,-0.0376671587,-1.9942193475,34.3574357702,-3.9900165785,4.1880416573,1.9930525505,8.9128150896,1,43,10.875,2.0625,-7.375,0.6000000238,0,0,0,3,31, 6,1 ,50,72, 3,8 ,21,-1,-1,-1,-1,33, 7,3 ,32,79, 3,178.943138115
37,3.7316548824,1517122730.97178,17.22,1.0874,2,1,-1.5340647697,2.2159352303,8.5,1.8,0.1437689532,-1.9942193475,32.8022690967,-3.9900165785,4.2968619273,1.9817364508,8.3743772323,1,43,10.375,2.25,-2.9375,0.6000000238,0,0,0,3,24, 6,9 ,81,71, 3,1 ,13,-1,-1,-1,-1,26, 7,3 ,43,77, 2,178.291876853
38,3.8325128555,1517122731.07264,17.64,0.9987,2,1,-1.528283596,2.221716404,8.075,2,0.0919300641,-2.0201387921,32.0506052045,-3.8085804666,4.459901984,2.0118465587,7.9506383162,1,43,9.6875,2.25,-2.5,0.6000000238,0,0,0,3,19, 6,8 ,40,72, 2,4 ,18,-1,-1,-1,-1,22, 7,1 ,07,78, 1,143.80639048
39,3.9333918095,1517122731.17352,17.68,0.8794,2,1,-1.5153930187,2.2346069813,7.6,2.15,0.040091175,-2.0460582366,31.4544579797,-3.782661022,4.6069400993,2.0407261888,7.4697420414,1,43,8.9375,2.4375,-3.8125,0.6000000238,0,0,0,3,10, 6,6 ,42,72, 1,8 ,26,-1,-1,-1,-1,12, 7,6 ,20,81, 9,176.969066584
40,4.0343227386,1517122731.27445,18.22,0.9131,2,1,-1.5089476109,2.2410523891,7.15,2.35,0.1178495087,-2.0201387921,36.3532330012,-4.0418554676,4.7550950544,2.010436715,7.0079847746,1,43,8.875,2.6875,-3.875,0.6000000238,0,0,0,3,89, 7,3 ,04,73, -, -, -, -, -, -, 9,5 ,37,90, 7,4 ,94,178.518606942
41,4.1350970268,1517122731.37523,18.65,0.8811,2,1,-1.5057249069,2.2442750931,6.65,2.5,0.0660106195,-2.0201387921,31.1693440895,-3.8344999112,4.8958821139,2.0128664125,6.4931287116,1,43,8.375,2.875,-4.25,0.6000000238,0,0,0,3,62, 6,9 ,47,72, 6,5 ,22,63, 7,3 ,1 ,1 ,54,72, 6,7 ,59,201.718552026
42,4.2359349728,1517122731.47606,19.17,1.0691,2,1,-1.5041136742,2.2458863258,6.225,2.65,0.0660106195,-2.0201387921,32.6467524294,-4.1196138013,5.0565312743,2.0117127305,6.041705474,1,43,8.1875,3,-5.3125,0.6000000238,0,0,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
