%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1517122727203702725,46103,1517122727203357310,gps,0,1,39.9950316443,116.324579092,41.9429359436,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727213585366,46104,1517122727213324392,gps,0,1,39.995031615,116.324578424,41.9383506775,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727223515476,46105,1517122727223382815,gps,0,1,39.9950316183,116.324577764,41.9369125366,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727233656567,46106,1517122727233472864,gps,0,1,39.9950316221,116.324577108,41.9355239868,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727243454298,46107,1517122727243242358,gps,0,1,39.9950315936,116.324576436,41.9311408997,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727253434051,46108,1517122727253298398,gps,0,1,39.9950315967,116.324575774,41.9298095703,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727263501835,46109,1517122727263272371,gps,0,1,39.9950316,116.324575114,41.9283714294,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727273439879,46110,1517122727273263320,gps,0,1,39.9950315728,116.32457444,41.9241752625,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727283433915,46111,1517122727283275197,gps,0,1,39.9950315758,116.324573774,41.9228973389,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727293483392,46112,1517122727293256033,gps,0,1,39.9950315789,116.324573111,41.9215812683,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727303461656,46113,1517122727303295451,gps,0,1,39.9950315528,116.324572434,41.917552948,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727313329527,46114,1517122727313215130,gps,0,1,39.9950315555,116.324571765,41.9161987305,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727323424677,46115,1517122727323297617,gps,0,1,39.9950315586,116.324571099,41.9149932861,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727333490059,46116,1517122727333205998,gps,0,1,39.9950315339,116.324570419,41.9110641479,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727343361257,46117,1517122727343198785,gps,0,1,39.9950315367,116.324569746,41.9096717834,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727353414586,46118,1517122727353287967,gps,0,1,39.9950315393,116.324569077,41.90832901,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727363373297,46119,1517122727363170032,gps,0,1,39.995031491,116.324568391,41.9044761658,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727373452447,46120,1517122727373228549,gps,0,1,39.9950314938,116.324567716,41.9031600952,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727383496230,46121,1517122727383355408,gps,0,1,39.9950314964,116.324567042,41.9016952515,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727393537859,46122,1517122727393246101,gps,0,1,39.9950314504,116.324566354,41.898021698,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727403535301,46123,1517122727403307210,gps,0,1,39.9950314529,116.324565675,41.8967590332,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727413429051,46124,1517122727413283369,gps,0,1,39.9950314555,116.324564999,41.895401001,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727423360387,46125,1517122727423224691,gps,0,1,39.9950314112,116.324564308,41.8918991089,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727433410522,46126,1517122727433243812,gps,0,1,39.9950314134,116.324563626,41.8907012939,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727443523392,46127,1517122727443266909,gps,0,1,39.9950314157,116.324562947,41.889415741,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727453631991,46128,1517122727453173810,gps,0,1,39.9950313728,116.324562254,41.8860740662,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727463352536,46129,1517122727463181305,gps,0,1,39.9950313742,116.324561569,41.884853363,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727473397069,46130,1517122727473282692,gps,0,1,39.9950313761,116.324560887,41.883605957,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727483442337,46131,1517122727483263396,gps,0,1,39.9950313345,116.324560191,41.8803710938,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727493434031,46132,1517122727493265133,gps,0,1,39.9950313354,116.324559503,41.8792190552,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727503445916,46133,1517122727503201706,gps,0,1,39.9950313367,116.324558818,41.8778686523,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727513395523,46134,1517122727513226076,gps,0,1,39.9950312965,116.324558119,41.8747215271,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727524101946,46135,1517122727523374421,gps,0,1,39.995031297,116.324557429,41.8735694885,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727533423273,46136,1517122727533239809,gps,0,1,39.995031298,116.324556741,41.8724098206,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727543363393,46137,1517122727543217467,gps,0,1,39.9950312476,116.324556015,41.8692741394,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727553662407,46138,1517122727553529022,gps,0,1,39.995031248,116.324555323,41.8681144714,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727563304645,46139,1517122727563174313,gps,0,1,39.9950312486,116.324554631,41.867061615,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727573286760,46140,1517122727573170279,gps,0,1,39.9950312002,116.324553905,41.8641090393,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727583672465,46141,1517122727583271075,gps,0,1,39.9950312006,116.324553209,41.8629875183,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727593417655,46142,1517122727593198271,gps,0,1,39.995031201,116.324552515,41.8618774414,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727603325151,46143,1517122727603167555,gps,0,1,39.9950311545,116.324551788,41.858997345,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
1517122727613463444,46144,1517122727613264241,gps,0,1,39.9950311544,116.324551089,41.8578529358,0.719104,0.0,0.0,0.0,0.731025,0.0,0.0,0.0,4.460544,2
