%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1517122727203702867,46103,1517122727203357310,utm,0.044,5.6025,-0.1427,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.002916,0.0,0.0,0.0,0.0,0.0,0.0,0.003721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122727213601287,46104,1517122727213324392,utm,0.0412,5.6121,-0.143,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.002916,0.0,0.0,0.0,0.0,0.0,0.0,0.003721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122727223528174,46105,1517122727223382815,utm,0.0393,5.6218,-0.1435,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.002916,0.0,0.0,0.0,0.0,0.0,0.0,0.003721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122727233672506,46106,1517122727233472864,utm,0.0372,5.6306,-0.141,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.002916,0.0,0.0,0.0,0.0,0.0,0.0,0.003721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122727243462544,46107,1517122727243242358,utm,0.0345,5.6394,-0.1387,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.002916,0.0,0.0,0.0,0.0,0.0,0.0,0.003721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122727253441955,46108,1517122727253298398,utm,0.0343,5.6489,-0.1359,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.002916,0.0,0.0,0.0,0.0,0.0,0.0,0.003721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122727263551883,46109,1517122727263272371,utm,0.0345,5.6586,-0.1342,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.002916,0.0,0.0,0.0,0.0,0.0,0.0,0.003721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122727273474155,46110,1517122727273263320,utm,0.0338,5.6677,-0.1345,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.002916,0.0,0.0,0.0,0.0,0.0,0.0,0.003721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122727283464733,46111,1517122727283275197,utm,0.0335,5.6766,-0.1311,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.002916,0.0,0.0,0.0,0.0,0.0,0.0,0.003721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517122727293518771,46112,1517122727293256033,utm,0.0333,5.6865,-0.1285,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.002916,0.0,0.0,0.0,0.0,0.0,0.0,0.003721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
