%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1517122727303476713,46113,1517122727303295451,gps,-0.00526912112278,0.00897307842987,0.707174154504,0.706962824643,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.0041,-0.00738,0.01261,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1794,-0.2579,9.474,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727313558666,46114,1517122727313215130,gps,-0.00523716851934,0.00891844502012,0.707249066213,0.706888811444,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.0025,-0.01239,0.02096,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0337,-0.0883,9.6115,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727323433391,46115,1517122727323297617,gps,-0.00518921540483,0.00891160752022,0.707315591022,0.706822686387,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.00633,-0.00783,0.01882,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1225,-0.0409,9.7991,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727333548363,46116,1517122727333205998,gps,-0.00513395824813,0.00893547768034,0.707390202512,0.706748117154,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01206,-0.00462,0.01752,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1587,0.0438,9.6022,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727343374609,46117,1517122727343198785,gps,-0.00508498974848,0.00896010872484,0.707458436217,0.706679857047,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01098,-0.00351,0.01942,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1534,-0.0667,9.5811,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727353430218,46118,1517122727353287967,gps,-0.00504222238403,0.00898979019733,0.70751317373,0.706624984461,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.01073,-0.00192,0.01567,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0717,-0.0965,9.5734,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727363372818,46119,1517122727363170032,gps,-0.00501713861606,0.00900052316962,0.707597113257,0.706540971362,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.00637,-0.00208,0.01527,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.0108,-0.0678,9.9683,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727373539367,46120,1517122727373228549,gps,-0.00503044560552,0.00901394312077,0.707696901413,0.706440754188,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.00079,0.00365,0.02837,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1049,0.0518,10.0633,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727383534040,46121,1517122727383355408,gps,-0.00503001774437,0.00903375296433,0.707744680439,0.706392636951,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,0.00329,0.00259,0.01367,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1581,-0.034,9.8084,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727393620330,46122,1517122727393246101,gps,-0.00504945550998,0.00901915258789,0.707856104475,0.706281029933,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.0033,0.00063,0.02348,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,0.9693,-0.0862,10.0762,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727403602918,46123,1517122727403307210,gps,-0.00509503482992,0.00902473167808,0.707908643319,0.706227971375,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.00522,0.0072,0.01495,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1022,-0.1031,10.0369,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
1517122727413444265,46124,1517122727413283369,gps,-0.00512283788363,0.00901709322226,0.707982530294,0.706153797242,1.21e-06,0.0,0.0,0.0,7.569e-07,0.0,0.0,0.0,0.0001129969,-0.00436,0.00272,0.021,0.000436332313,0.0,0.0,0.0,0.000436332313,0.0,0.0,0.0,0.000436332313,1.1924,-0.1354,9.8533,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
