%time,field.lefttype,field.righttype,field.leftconf,field.rightconf,field.curvature,field.heading,field.leftoffset,field.rightoffset
1517122676009202609,2,2,0,0,0.0,0.0,-1.87999999523,0.319999992847
1517122676110313275,2,2,0,0,0.0,0.0,-1.87999999523,0.300000011921
1517122676205946138,2,2,0,0,0.0,0.0,-1.87999999523,0.280000001192
1517122676305784306,2,2,0,0,0.0,0.0,-1.87999999523,0.259999990463
1517122676403073779,2,2,0,0,0.0,0.0,-1.87999999523,0.239999994636
1517122676507075360,2,2,0,0,0.0,0.0,-1.87999999523,0.239999994636
1517122676606204359,2,1,2,2,0.0,0.0,-1.32000005245,1.84000003338
1517122676702687552,2,1,2,2,0.0,0.0,-1.25999999046,1.91999995708
1517122676800432634,2,1,2,2,0.0,0.0,-1.22000002861,1.96000003815
1517122676898421433,2,1,2,2,0.0,0.0,-1.17999994755,1.98000001907
1517122676994435254,2,1,2,2,0.0,0.0,-1.17999994755,1.98000001907
1517122677092449522,2,1,2,2,0.0,0.0,-1.17999994755,1.98000001907
1517122677191495524,2,1,2,2,0.0,0.0,-1.17999994755,1.98000001907
1517122677285941269,2,1,0,2,0.0,0.0,-1.87999999523,2.0
1517122677385450382,2,1,0,2,0.0,0.0,-1.87999999523,2.0
1517122677486009279,2,1,0,2,0.0,0.0,-1.87999999523,2.0
1517122677584235439,2,1,0,2,0.0,0.0,-1.87999999523,2.0
1517122677684189112,2,1,0,2,0.0,0.0,-1.87999999523,2.0
1517122677784502996,2,1,0,2,0.0,0.0,-1.87999999523,2.01999998093
1517122677880464456,2,1,0,2,0.0,0.0,-1.87999999523,2.01999998093
1517122677978878380,2,1,0,2,0.0,0.0,-1.87999999523,2.01999998093
1517122678076979762,2,1,0,2,0.0,0.0,-1.87999999523,2.03999996185
1517122678164859344,2,1,0,2,0.0,0.0,-1.87999999523,2.03999996185
1517122678256245544,2,1,0,2,0.0,0.0,-1.87999999523,2.05999994278
1517122678349617722,2,1,0,2,0.0,0.0,-1.87999999523,2.05999994278
1517122678454217715,2,1,0,2,0.0,0.0,-1.87999999523,2.07999992371
1517122678555803845,2,1,0,2,0.0,0.0,-1.87999999523,2.09999990463
1517122678660163736,2,1,0,2,0.0,0.0,-1.87999999523,2.11999988556
1517122678764651809,2,1,0,2,0.0,0.0,-1.87999999523,2.11999988556
1517122678870742508,2,1,0,2,0.0,0.0,-1.87999999523,2.07999992371
1517122678978750482,2,1,0,2,0.0,0.0,-1.87999999523,1.63999998569
1517122679081161818,2,1,0,2,0.0,0.0,-1.87999999523,1.65999996662
