%time,field.lefttype,field.righttype,field.leftconf,field.rightconf,field.curvature,field.heading,field.leftoffset,field.rightoffset
1517122676009196902,2,2,0,0,0.0,0.0,0.0,0.0
1517122676110304564,2,2,0,0,0.0,0.0,0.0,0.0
1517122676205933468,2,2,0,0,0.0,0.0,0.0,0.0
1517122676305772286,2,2,0,0,0.0,0.0,0.0,0.0
1517122676403035236,2,2,0,0,0.0,0.0,0.0,0.0
1517122676507065353,2,2,0,0,0.0,0.0,0.0,0.0
1517122676606193910,2,1,2,2,0.00108965998515,-0.0209999997169,-1.32015621662,2.42984390259
1517122676702671573,2,1,2,2,0.00111251999624,-0.0140000004321,-1.28015625477,2.46984386444
1517122676800420054,2,1,2,2,0.00100964994635,-0.0135000003502,-1.24015617371,2.50984382629
1517122676898409142,2,1,2,2,0.000910589995328,-0.0109999999404,-1.21015620232,2.53984379768
1517122676994431453,2,1,2,2,0.000849629985169,-0.00999999977648,-1.17999994755,2.57000017166
1517122677092429582,2,1,2,2,0.000792480015662,-0.00999999977648,-1.1724998951,2.5775001049
1517122677191491725,2,1,2,2,0.000720089999959,-0.0115000000224,-1.16874992847,2.58125019073
1517122677285934075,2,1,0,2,0.000697229988873,-0.0125000001863,-1.1568748951,2.5931251049
1517122677385447749,2,1,0,2,0.000670559995342,-0.0140000004321,-1.15093743801,2.59906244278
1517122677486005181,2,1,0,2,0.00061722000828,-0.0140000004321,-1.14796876907,2.60203123093
1517122677584219934,2,1,0,2,0.000609599985182,-0.0144999995828,-1.146484375,2.603515625
1517122677684190441,2,1,0,2,0.000579120009206,-0.0154999997467,-1.14574217796,2.60425782204
1517122677784482339,2,1,0,2,0.000548639975023,-0.0144999995828,-1.13537120819,2.61462879181
1517122677880440457,2,1,0,2,0.00055625999812,-0.0144999995828,-1.1301856041,2.6198143959
1517122677978861295,2,1,0,2,0.000541020010132,-0.0144999995828,-1.12759280205,2.62240719795
1517122678076981970,2,1,0,2,0.000529590004589,-0.0140000004321,-1.11629629135,2.63370370865
1517122678164823760,2,1,0,2,0.000514350016601,-0.0149999996647,-1.11064815521,2.63935184479
1517122678256239411,2,1,0,2,0.000495299987961,-0.0149999996647,-1.09782409668,2.65217590332
1517122678349613519,2,1,0,2,0.000480059999973,-0.0154999997467,-1.09141206741,2.65858793259
1517122678454206423,2,1,0,2,0.000441960000899,-0.0149999996647,-1.07820606232,2.67179393768
1517122678555800573,2,1,0,2,0.000426720012911,-0.0149999996647,-1.06160306931,2.68839693069
1517122678660151153,2,1,0,2,0.000430529995356,-0.0140000004321,-1.04330158234,2.70669841766
1517122678764650440,2,1,0,2,0.000430529995356,-0.0140000004321,-1.03415083885,2.71584916115
1517122678870736600,2,1,0,2,0.000133349996759,-0.00150000001304,-1.04957532883,2.70042467117
1517122678978743673,2,1,0,2,0.00033909000922,-0.0149999996647,-1.04957532883,2.70042467117
1517122679081160274,2,1,0,2,0.000304799992591,-0.0144999995828,-1.04957532883,2.70042467117
1517122679186979259,2,1,0,2,0.000380999990739,-0.0149999996647,-1.04957532883,2.70042467117
1517122679292588231,2,1,0,2,0.000411479995819,-0.0144999995828,-1.04957532883,2.70042467117
1517122679396749555,2,1,0,2,0.00046862999443,-0.0144999995828,0.0,0.0
1517122679502754307,2,1,0,2,0.00043814998935,-0.0125000001863,-1.46500003338,2.28499984741
1517122679607634364,2,1,0,2,0.000403860001825,-0.0115000000224,-1.46500003338,2.28499984741
1517122679713093812,0,1,1,2,0.00043814998935,-0.0135000003502,-1.45499992371,2.29500007629
1517122679812710104,2,1,1,2,0.000400049990276,-0.0135000003502,-1.43999993801,2.30999994278
1517122679920341936,2,1,1,2,0.0003695700143,-0.0135000003502,-1.43249988556,2.31750011444
1517122680028515332,0,1,2,2,0.000567690003663,-0.0140000004321,-1.43624997139,2.31375002861
1517122680133814798,0,1,2,2,0.000575310026761,-0.0140000004321,-1.43812501431,2.31187486649
1517122680239430069,0,1,2,2,0.00055625999812,-0.0109999999404,-1.42906248569,2.32093763351
1517122680341584629,0,1,2,2,0.000548639975023,-0.00949999969453,-1.42453122139,2.32546877861
